Name,VizPic,Link
@mwilsonx,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/f/fcc7ac4bb66343a22f7d48bf07d5d6d9327bd8d3.JPG,
@cchattirak,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/4/4f99f4f6f686b333da5e9d93549379ed5cb519b0.png,https://public.tableau.com/profile/chatchai.chattirak#!/vizhome/week13_4/Dashboard1?publish=yes
@pchaudhary,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/c/cad822da53946bdfec4d4cd06242a644cc922b25.jpg,https://public.tableau.com/shared/8PW3W9X95?:display_count=yes
@nkraska,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/4/4724aa347a99a0bad4b352fa9a78d94f32c5acbf.jpg,https://t.co/R2Ub8wl2ye
@ycsong21,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/4/4f2cc17bc43ae6cd1b6171c03e0628bf21e3520a.jpg,https://public.tableau.com/views/UKs_fav_chocolates_mm2018w13/UKs_favourite_chocolate?:retry=yes&:embed=y&:display_count=yes&publish=yes
@staticum,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/f/fecb272a82ed63df36a2cb95623565edaf7e450a.jpg,
@hayleyp,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/a/a59d8493d2256b4f1bcbcf52de46da2693643430.png,https://public.tableau.com/views/MakeoverMondayW13WhatistheUKsfavouritechocolatebar/Dashboard1?:embed=y&:display_count=yes&publish=yes
@aya,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/8/84ac5efd02e6cdd1cf695894230c788a985e6217.png,https://public.tableau.com/views/MakeoverMonday_39/Sheet1?:embed=y&:display_count=yes
@jplattner,https://pbs.twimg.com/media/DZWQtJrWsAA2zgO.jpg:large,https://public.tableau.com/profile/jeff.plattner4532#!/vizhome/Top10ChocolateBars_3/Dashboard1
@brunohanai,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/f/fdae298380dc615c5a7cc0ba5cd6cc5f13a924a6.jpg,https://public.tableau.com/views/MakeoverMonday2018W13_0/Main?:embed=y&:display_count=yes&publish=yes
@sarahlovesdata,https://pbs.twimg.com/media/DZX2eiYXcAAg9w8.jpg:large,http://bit.ly/MM2018Week13
@suryateja1,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/b/bbb300b799c334bef531366637cac5ceecbce221.png,https://public.tableau.com/profile/suryatejaa90#!/vizhome/WhatisU_KsFavouriteChocolatebar/Dashboa
@jarosk88,,
@andyth14,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/f/f7c40bae519b12c5ec5c5b430423e8bcac3e60f8.PNG,https://public.tableau.com/profile/andrew.herman#!/vizhome/HowdoYOURChocolateRankingscomparetopeopleofyourageintheUK/Dashboard1
@vizwiz,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/2/28f639be6c532ea9ac0f1f03e87f1a854f445fb0.jpg,
@hilda2309,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/b/bda34ca1d94cc85b34d2140431d0fe1aceb8bcf9.jpg,https://public.tableau.com/profile/hilda.amalan3899#!/vizhome/UKsfavouriteChocolateBar/UKsfavouritechocolatebars
@marcsoares,https://pbs.twimg.com/media/DZdPgEWXUAE9Pkj.jpg:large,https://datastudio.google.com/open/1bSTzcwMqKUpF-PFflw1I6E2Iyw60-Q6T
@ibk,,
@alihanif,,
@profdrkschulte,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/9/96daaccaa4ad81b4c9cf5670644a28f010f34a86.jpg,https://t.co/UE1X7Vlan6
@busygirl,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/8/82937352d2baf80aabf5e1e93c84089011ae15f9.jpg,
@amrutha767,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/7/76dbf859343d8c2b84926dac5544f4d993610b13.png,https://public.tableau.com/profile/amrutha3044#!/vizhome/MakeoverMonday-March/Mar26?publish=yes
@venkatkolli,,
@ykimura,https://pbs.twimg.com/media/DZjjYWQV4AAm8_R.jpg:large,https://public.tableau.com/profile/yoshihito.kimura#!/vizhome/chocolate_1/1
@dilyana,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/8/86a7d0b714c82145c500de585b41e8e60efb053e.png,
